Lua Diagnostics | Errors: 0 | Warnings: 1054 | EmmyLua Types: /workspace/.emmylua
Info: 0 | Hints: 94 | Total: 1148 | Time: 2026-06-05 08:55:01 | Dir: /workspace/scripts
---
WARN  | MaterialState.lua:135:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | MaterialState.lua:171:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | MaterialState.lua:189:8 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | MaterialState.lua:193:16 | Impossible `if` statement: this condition is always falsy [unnecessary-if]
WARN  | MaterialState.lua:299:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | MaterialState.lua:310:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | MaterialState.lua:350:26 | expected `integer` but found `number`. [param-type-mismatch]
WARN  | MaterialState.lua:128:5 | gameData_ may be nil [need-check-nil]
WARN  | MaterialState.lua:130:48 | selectedMat_ may be nil [need-check-nil]
WARN  | MaterialState.lua:138:5 | gameData_ may be nil [need-check-nil]
WARN  | MaterialState.lua:140:50 | selectedMat_ may be nil [need-check-nil]
WARN  | MaterialState.lua:157:29 | b may be nil [need-check-nil]
WARN  | MaterialState.lua:158:20 | b may be nil [need-check-nil]
WARN  | MaterialState.lua:162:20 | b may be nil [need-check-nil]
WARN  | MaterialState.lua:285:34 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:285:48 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:285:62 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:288:27 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:289:27 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:290:27 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:301:66 | mat may be nil [need-check-nil]
WARN  | MaterialState.lua:285:44 | Undefined field `[1]`. [undefined-field]
WARN  | MaterialState.lua:285:58 | Undefined field `[2]`. [undefined-field]
WARN  | MaterialState.lua:285:72 | Undefined field `[3]`. [undefined-field]
WARN  | MaterialState.lua:288:37 | Undefined field `[1]`. [undefined-field]
WARN  | MaterialState.lua:289:37 | Undefined field `[2]`. [undefined-field]
WARN  | MaterialState.lua:290:37 | Undefined field `[3]`. [undefined-field]
WARN  | MaterialState.lua:210:9 | Cannot assign `number` to `integer`. [assign-type-mismatch]
